,user_id,display_name,reputation,view_count,answer_count,score,tags,title
0,87234,GManNickG,489966,1797908,26,26909,"['java', 'c++', 'performance', 'cpu-architecture', 'branch-prediction']",Why is processing a sorted array faster than processing an unsorted array?
1,89904,Hamza Yerlikaya,48807,12457782,103,25420,"['git', 'version-control', 'git-commit', 'undo']",How do I undo the most recent local commits in Git?
2,95592,Matthew Rankin,449658,10759712,41,19962,"['git', 'version-control', 'git-branch', 'git-push', 'git-remote']",How do I delete a Git branch locally and remotely?
3,6068,pupeno,276383,3337114,38,13545,"['git', 'version-control', 'git-pull', 'git-fetch']",What is the difference between &#39;git pull&#39; and &#39;git fetch&#39;?
4,18300,Alex. S.,141242,3155512,51,12524,"['python', 'iterator', 'generator']",What does the &quot;yield&quot; keyword do in Python?
5,12870,Oli,233572,3705188,38,11386,"['json', 'mime-types', 'content-type']",Which JSON content type do I use?
6,364969,Walker,125441,11315369,141,11340,"['javascript', 'arrays']",How can I remove a specific item from an array in JavaScript?
7,338204,Forrest,120413,4910153,40,11133,"['git', 'version-control', 'git-branch']",How do I rename a local Git branch?
8,14069,oz10,150509,4913353,38,10933,"['git', 'undo', 'git-add']",How do I undo &#39;git add&#39; before commit?
9,87234,GManNickG,489966,968713,29,9968,"['c++', 'c', 'operators', 'code-formatting', 'standards-compliance']",What is the &quot;--&gt;&quot; operator in C++?
10,4105,Michael Gundlach,105197,3369051,58,9286,"['json', 'comments']",Can comments be used in JSON?
11,13161,mattshane,92373,1832063,31,9232,"['memory-management', 'stack', 'language-agnostic', 'dynamic-memory-allocation', 'heap-memory']",What and where are the stack and heap?
12,98046,Jakub Troszok,97139,7473737,50,9208,"['git', 'version-control', 'overwrite', 'git-pull', 'git-fetch']",How do I force &quot;git pull&quot; to overwrite local files?
13,456584,user456584,85557,732664,9,8606,"['html', 'browser', 'background-color']",Why does HTML think “chucknorris” is a color?
14,21709,Philip Morton,128633,3102414,65,8552,"['javascript', 'jquery', 'dom', 'visibility']",How do I check if an element is hidden in jQuery?
15,25847,Mark Rogers,95869,1199074,30,8367,"['javascript', 'syntax', 'jslint', 'use-strict']","What does &quot;use strict&quot; do in JavaScript, and what is the reasoning behind it?"
16,179467,Juri Glass,86343,7737971,42,8287,"['git', 'git-checkout', 'remote-branch']",How do I check out a remote Git branch?
17,51518,Devoted,175147,4366646,45,7947,"['python', 'namespaces', 'program-entry-point', 'python-module', 'idioms']",What does if __name__ == &quot;__main__&quot;: do?
18,4883,readonly,338414,2965030,41,7906,"['git', 'branch', 'git-branch']",How do I remove local (untracked) files from the current Git working tree?
19,16957,Ivan,94609,2068220,33,7709,"['git', 'gitignore', 'git-rm']","How do I make Git forget about a file that was tracked, but is now in .gitignore?"
20,44984,venkatachalam,102271,7548650,58,7703,"['javascript', 'jquery', 'redirect']",How do I redirect to another webpage?
21,51518,Devoted,175147,2716866,31,7656,"['python', 'operators', 'conditional-operator']",Does Python have a ternary conditional operator?
22,7473,Laurie Young,135274,3363949,27,7651,"['git', 'git-commit', 'git-rewrite-history', 'git-amend']","How to modify existing, unpushed commit messages?"
23,4315,user4315,4775,2577641,93,7648,"['java', 'methods', 'parameter-passing', 'pass-by-reference', 'pass-by-value']",Is Java &quot;pass-by-reference&quot; or &quot;pass-by-value&quot;?
24,9951,e-satis,571145,1604319,86,7621,"['javascript', 'function', 'variables', 'scope', 'closures']",How do JavaScript closures work?
25,111174,Crazy Serb,76350,9648006,41,7613,"['git', 'git-checkout', 'git-reset', 'git-revert']",How do I revert a Git repository to a previous commit?
26,31569,Richard Garside,87281,1193881,41,7547,"['javascript', 'function', 'methods', 'syntax']",var functionName = function() {} vs function functionName() {}
27,342235,Freewind,191364,781672,10,7466,"['java', 'date', 'timezone']",Why is subtracting these two times (in 1927) giving a strange result?
28,571,Lance Fisher,25624,1277983,66,7435,"['c#', '.net', 'string', 'types', 'alias']",What is the difference between String and string in C#?
29,131679,gramm,18754,7585689,3,7411,"['javascript', 'string', 'substring', 'string-matching']",How to check whether a string contains a substring in JavaScript?
30,27929,johnstok,95082,3005147,37,7304,"['javascript', 'object', 'properties']",How do I remove a property from a JavaScript object?
31,9951,e-satis,571145,1095466,25,7147,"['python', 'oop', 'metaclass', 'python-class', 'python-datamodel']",What are metaclasses in Python?
32,954986,Nathan,71563,9929200,54,7145,"['linux', 'text', 'grep', 'directory', 'find']",How to find all files containing specific text (string) on Linux?
33,15616,spence91,75987,5134631,40,6917,"['python', 'file', 'file-exists']",How do I check whether a file exists without exceptions?
34,3207,Carl Meyer,119798,3024125,43,6644,"['python', 'dictionary', 'merge']",How do I merge two dictionaries in a single expression in Python?
35,218196,Felix Kling,784914,2042647,41,6556,"['javascript', 'ajax', 'asynchronous']",How do I return the response from an asynchronous call?
36,235885,capecrawler,66973,1448941,32,6298,"['android', 'android-layout', 'user-interface', 'dimension', 'units-of-measurement']","What is the difference between px, dip, dp, and sp?"
37,1103052,Mark A. Nicolosi,80963,1587404,21,6269,"['git', 'git-branch', 'branching-and-merging']",Move the most recent commit(s) to a new branch with Git
38,19268,alex,73435,3158128,41,6196,"['http', 'rest', 'post', 'put']",What is the difference between POST and PUT in HTTP?
39,426996,Alec Smart,93035,4171516,69,6184,"['javascript', 'file', 'import', 'include']",How do I include a JavaScript file in another JavaScript file?
40,12983,TM.,106790,2154837,39,6060,"['javascript', 'scope', 'ecmascript-6', 'var', 'let']",What is the difference between &quot;let&quot; and &quot;var&quot;?
41,4883,readonly,338414,3765222,41,6026,"['git', 'version-control']",How do I discard unstaged changes in Git?
42,2908,Jiaaro,73415,2372432,74,6020,"['bash', 'directory']",How do I get the directory where a Bash script is located from within the script itself?
43,2908,Jiaaro,73415,2372432,74,6020,"['bash', 'directory']",How do I get the directory where a Bash script is located from within the script itself?
44,17085,freshWoWer,60979,4287251,65,5922,"['python', 'shell', 'terminal', 'subprocess', 'command']",How do I execute a program or call a system command?
45,9951,e-satis,571145,3319411,34,5814,"['git', 'url', 'git-remote']",How do I change the URI (URL) for a remote Git repository?
46,44990,bcasp,57397,2081641,48,5650,"['javascript', 'operators', 'equality', 'equality-operator', 'identity-operator']",Which equals operator (== vs ===) should be used in JavaScript comparisons?
47,2172,Sander Versluys,72017,1579679,18,5580,"['http', 'url', 'browser']",What is the maximum length of a URL in different browsers?
48,1140876,Dante1986,57651,5148732,40,5555,"['javascript', 'arrays', 'loops', 'foreach', 'iteration']",Loop (for each) over an array in JavaScript
49,3410,Hates_,65565,2787219,35,5543,"['git', 'version-control', 'git-checkout']",How do I reset or revert a file to a specific revision?
50,136,Michiel de Mare,41782,667434,11,5518,"['forms', 'http', 'security', 'authentication', 'language-agnostic']",The definitive guide to form-based website authentication
51,72,pix0r,31061,4418667,79,5478,"['javascript', 'html', 'regex', 'email-validation']",How can I validate an email address in JavaScript?
52,13055,Parand,101530,3498831,28,5458,"['python', 'exception', 'path', 'directory', 'operating-system']",How can I safely create a directory (possibly including intermediate directories)?
53,222187,Roni Yaniv,56533,5351283,18,5446,"['git', 'repository', 'git-branch', 'git-push', 'git-remote']",How do I push a new local branch to a remote Git repository and track it too?
54,128983,hap497,150419,5452144,25,5367,"['git', 'undo']",Reset local repository branch to be just like remote repository HEAD
55,49153,Ali,257937,4372755,78,5355,"['javascript', 'string', 'replace']",How do I replace all occurrences of a string in JavaScript?
56,59711,Arec Barrwin,60953,802775,43,5316,"['algorithm', 'complexity-theory', 'computer-science', 'big-o', 'time-complexity']",What is a plain English explanation of &quot;Big O&quot; notation?
